product_name,category,unit_size,batch_id,production_date,total_weight_kg,in_stock_quantity,price_per_unit,cost_per_unit,operator_name,print_count,printed_by
Papad,Papad,50gm,B00082,2025-01-10,4.1,82,89.27,58.35,Priya,202,Printer_B
Javas Chatani,Chutney,100gm,B00083,2023-08-27,5.7,57,131.91,105.17,Priya,62,Printer_C
Jai Ho Mango Pickle,Pickle,1kg,B00084,2023-11-19,82.0,82,95.1,71.58,Sunil,187,Printer_C
Chat Masala,Masala,200gm,B00085,2023-07-11,27.0,135,61.82,41.62,Ravi,225,Printer_B
Garam Masala,Masala,200gm,B00086,2025-12-15,17.4,87,147.47,110.02,Sunil,232,Printer_A
Lasun Pickle,Pickle,200gm,B00087,2025-11-18,4.4,22,105.74,88.66,Sunil,248,Printer_B
Kolhapuri Thecha,Thecha,1kg,B00088,2024-05-08,79.0,79,107.41,86.0,Sunil,54,Printer_B
Shengdana Chatani,Chutney,100gm,B00089,2024-08-22,17.6,176,53.43,38.3,Ajay,24,Printer_B
Mithi Chatani,Chutney,100gm,B00090,2024-03-26,6.8,68,98.64,81.93,Seema,153,Printer_C
Green Chilly Pickle,Pickle,200gm,B00091,2025-01-07,13.2,66,149.35,110.67,Ravi,218,Printer_B
Lemon Pickle,Pickle,100gm,B00092,2025-07-23,12.5,125,139.78,85.41,Ajay,18,Printer_A
Sunday Kala Masala,Masala,500gm,B00093,2025-04-22,43.0,86,141.4,103.0,Priya,252,Printer_C
Mix Pickle,Pickle,500gm,B00094,2025-08-12,51.0,102,98.68,88.23,Sunil,148,Printer_B
Kolhapuri Jhatka,Masala,50gm,B00095,2025-03-04,5.6,112,66.68,43.83,Sunil,104,Printer_A
Kashmiri Mirchi Powder,Masala,500gm,B00096,2024-10-25,41.0,82,68.03,44.28,Priya,154,Printer_A
Kolhapuri Thecha,Thecha,200gm,B00097,2023-05-10,14.8,74,77.36,66.01,Ravi,283,Printer_A
Misal Masala,Masala,50gm,B00098,2025-04-05,5.8,116,98.41,61.91,Priya,261,Printer_A
Panipuri Chatani,Chutney,1kg,B00099,2024-07-15,111.0,111,110.54,67.16,Ajay,36,Printer_B
Javas Chatani,Chutney,500gm,B00100,2023-11-13,53.0,106,65.43,39.05,Ajay,37,Printer_A
Garam Masala,Masala,1kg,B00101,2024-02-08,82.0,82,46.39,37.7,Ravi,223,Printer_C
Chunda,Pickle,1kg,B00102,2023-10-13,118.0,118,65.23,48.45,Ajay,236,Printer_B
Panipuri Chatani,Chutney,500gm,B00103,2024-08-02,74.0,148,60.74,47.59,Priya,60,Printer_A
Green Chilly Pickle,Pickle,200gm,B00104,2025-02-08,21.8,109,91.36,68.56,Seema,48,Printer_A
Haldi Powder,Masala,500gm,B00105,2025-09-10,47.0,94,53.31,33.12,Ravi,157,Printer_C
Sunday Kala Masala,Masala,500gm,B00106,2023-10-09,32.5,65,36.09,31.25,Sunil,111,Printer_B
Garam Masala,Masala,100gm,B00107,2025-03-09,6.4,64,75.07,47.16,Sunil,46,Printer_A
Garam Masala,Masala,200gm,B00108,2025-10-19,27.2,136,110.64,77.28,Neha,234,Printer_A
Mango Pickle,Pickle,200gm,B00109,2025-06-09,27.4,137,95.12,55.74,Ajay,262,Printer_B
Dhana Powder,Masala,50gm,B00110,2024-10-20,5.35,107,133.25,89.95,Seema,56,Printer_A
Papad,Papad,1kg,B00111,2025-12-25,91.0,91,128.71,91.13,Priya,147,Printer_C
Tikha & Lal Mirchi Powder,Masala,100gm,B00112,2024-08-15,10.9,109,69.2,58.71,Neha,102,Printer_C
Chat Masala,Masala,500gm,B00113,2023-07-14,69.5,139,55.9,38.4,Ajay,63,Printer_A
Chatpata Masala,Masala,500gm,B00114,2024-09-13,58.5,117,131.04,86.27,Sunil,291,Printer_A
Mango Pickle,Pickle,200gm,B00115,2024-05-25,34.6,173,94.88,65.58,Ajay,273,Printer_A
Green Chilly Pickle,Pickle,1kg,B00116,2024-06-07,131.0,131,45.93,36.32,Ajay,265,Printer_C
Mango Pickle,Pickle,50gm,B00117,2023-04-05,3.95,79,34.93,25.14,Neha,234,Printer_C
Mango Pickle,Pickle,50gm,B00118,2025-09-08,3.4,68,82.68,51.55,Sunil,169,Printer_C
Haldi Powder,Masala,500gm,B00119,2023-04-27,69.5,139,145.52,123.81,Neha,246,Printer_A
Green Chilly Pickle,Pickle,100gm,B00120,2024-12-10,8.8,88,112.62,58.28,Ajay,149,Printer_B
Kolhapuri Thecha,Thecha,500gm,B00121,2023-07-05,40.0,80,83.08,47.52,Ajay,270,Printer_C
Shengdana Chatani,Chutney,50gm,B00122,2024-10-28,6.35,127,51.94,40.53,Ajay,269,Printer_B
Hirva Thecha,Thecha,200gm,B00123,2025-05-19,10.0,50,144.58,118.75,Priya,260,Printer_A
Mango Pickle,Pickle,500gm,B00124,2024-05-25,56.0,112,82.28,67.39,Priya,243,Printer_B
Panipuri Chatani,Chutney,100gm,B00125,2025-06-28,11.6,116,59.73,42.22,Sunil,32,Printer_B
Maruti Mango Pickle,Pickle,500gm,B00126,2024-12-26,67.5,135,31.73,20.14,Sunil,87,Printer_B
Papad,Papad,100gm,B00127,2025-12-11,11.8,118,41.3,28.64,Neha,235,Printer_A
Mango Pickle,Pickle,500gm,B00128,2023-10-14,55.5,111,114.44,84.94,Neha,89,Printer_A
Mango Pickle,Pickle,200gm,B00129,2024-09-13,27.8,139,121.6,102.4,Priya,178,Printer_C
Mithi Chatani,Chutney,500gm,B00130,2024-09-25,89.5,179,50.78,32.0,Ajay,287,Printer_A
Green Chilly Pickle,Pickle,100gm,B00131,2025-10-10,7.2,72,35.77,31.65,Neha,56,Printer_B
udad dal papad,Papad,50gm,B00132,2024-03-10,7.45,149,35.44,25.25,Neha,33,Printer_B
Chatpata Thecha,Thecha,200gm,B00133,2024-06-05,13.6,68,90.38,77.45,Seema,220,Printer_C
Green Chilly Pickle,Pickle,100gm,B00134,2023-03-20,11.8,118,112.08,87.96,Neha,133,Printer_B
Karala Chatani,Chutney,100gm,B00135,2023-07-09,15.9,159,107.09,54.4,Ajay,14,Printer_B
Khobra Lasun Chatani,Chutney,1kg,B00136,2023-01-12,81.0,81,142.83,110.36,Neha,163,Printer_C
Papad,Papad,200gm,B00137,2024-11-07,19.8,99,98.8,63.09,Neha,257,Printer_A
Malvani Masala,Masala,1kg,B00138,2024-08-23,110.0,110,95.47,84.25,Seema,212,Printer_B
Haldi Powder,Masala,50gm,B00139,2025-10-27,5.8,116,128.45,102.17,Neha,156,Printer_A
Murabba,Pickle,200gm,B00140,2023-09-20,18.4,92,53.49,33.21,Seema,80,Printer_C
Goda Masala,Masala,50gm,B00141,2024-11-02,7.2,144,75.27,46.04,Priya,77,Printer_A
Khobra Lasun Chatani,Chutney,200gm,B00142,2025-06-07,16.8,84,70.39,56.08,Ravi,286,Printer_B
Mix Pickle,Pickle,200gm,B00143,2023-04-27,28.4,142,131.39,79.75,Neha,161,Printer_C
Panipuri Chatani,Chutney,50gm,B00144,2024-12-05,4.15,83,61.28,45.89,Sunil,125,Printer_C
Lasun Pickle,Pickle,500gm,B00145,2025-05-26,68.5,137,113.61,78.24,Ajay,145,Printer_C
Garam Masala,Masala,200gm,B00146,2025-10-09,15.6,78,34.7,25.17,Priya,200,Printer_A
Green Chilly Pickle,Pickle,500gm,B00147,2023-09-18,57.5,115,51.29,37.19,Ajay,123,Printer_C
8+2 Mirchi Powder,Masala,500gm,B00148,2025-05-14,56.5,113,99.11,81.22,Ravi,33,Printer_A
Tikhat Mirchi Powder,Masala,500gm,B00149,2023-02-18,42.5,85,74.64,62.17,Ravi,242,Printer_B
Green Chilly Pickle,Pickle,1kg,B00150,2024-08-24,73.0,73,134.05,103.03,Ravi,222,Printer_C
Goda Masala,Masala,500gm,B00151,2025-06-09,30.5,61,81.48,67.24,Ravi,199,Printer_A
Mango Pickle,Pickle,100gm,B00152,2024-02-22,16.8,168,58.59,35.93,Ajay,193,Printer_A
Chicken Masala,Masala,100gm,B00153,2023-12-27,14.1,141,89.59,55.27,Ajay,118,Printer_C
Green Chilly Pickle,Pickle,50gm,B00154,2023-11-08,3.1,62,137.46,98.53,Neha,299,Printer_A
8+2 Mirchi Powder,Masala,1kg,B00155,2023-08-27,61.0,61,145.02,123.87,Neha,178,Printer_A
Jai Ho Mango Pickle,Pickle,1kg,B00156,2023-04-05,58.0,58,68.32,60.46,Neha,286,Printer_B
Chatpata Thecha,Thecha,50gm,B00157,2025-11-05,5.05,101,98.81,78.02,Ravi,131,Printer_C
Chatpata Masala,Masala,100gm,B00158,2024-01-24,14.8,148,65.19,39.02,Ajay,68,Printer_C
8+2 Mirchi Powder,Masala,500gm,B00159,2024-07-04,82.0,164,120.28,88.7,Ajay,123,Printer_C
Tikha & Lal Mirchi Powder,Masala,1kg,B00160,2024-07-01,106.0,106,43.62,38.35,Ravi,255,Printer_B
Chat Masala,Masala,50gm,B00161,2024-10-15,5.35,107,36.91,28.23,Ravi,51,Printer_B
Murabba,Pickle,50gm,B00162,2023-04-21,2.7,54,118.44,90.46,Priya,176,Printer_B
sabudana papad,Papad,1kg,B00163,2024-07-20,154.0,154,44.05,23.91,Ajay,68,Printer_C
Green Chilly Pickle,Pickle,1kg,B00164,2025-11-14,153.0,153,130.44,99.14,Ajay,126,Printer_B
Dal Tadka Masala,Masala,500gm,B00165,2024-06-04,28.0,56,81.13,54.1,Seema,170,Printer_C
Kolhapuri Jhatka,Masala,100gm,B00166,2025-12-03,5.8,58,128.62,104.42,Ravi,53,Printer_A
Chat Masala,Masala,200gm,B00167,2023-08-19,10.8,54,91.6,61.37,Neha,297,Printer_B
Green Chilly Pickle,Pickle,500gm,B00168,2024-11-25,43.5,87,74.91,45.78,Ajay,36,Printer_B
Murabba,Pickle,200gm,B00169,2023-08-07,13.2,66,143.67,128.7,Ravi,256,Printer_A
Mithi Chatani,Chutney,200gm,B00170,2025-05-25,10.6,53,72.03,58.52,Seema,125,Printer_B
Mithi Chatani,Chutney,1kg,B00171,2025-10-18,68.0,68,123.26,94.6,Ravi,146,Printer_A
Garam Masala,Masala,200gm,B00172,2024-05-06,28.0,140,59.85,41.84,Neha,299,Printer_C
Chicken Masala,Masala,100gm,B00173,2025-09-01,11.6,116,60.44,43.61,Ravi,281,Printer_A
Meat Masala,Masala,500gm,B00174,2024-03-10,53.5,107,118.92,98.72,Sunil,300,Printer_C
Dhana Powder,Masala,50gm,B00175,2023-03-20,4.4,88,119.53,92.64,Ravi,51,Printer_B
Mango Pickle,Pickle,500gm,B00176,2024-09-14,55.5,111,78.03,58.0,Seema,272,Printer_A
Dal Tadka Masala,Masala,50gm,B00177,2024-10-19,5.2,104,134.23,76.12,Ajay,167,Printer_A
Kashmiri Mirchi Powder,Masala,1kg,B00178,2023-01-10,55.0,55,126.25,112.79,Neha,80,Printer_B
Sunday Kala Masala,Masala,50gm,B00179,2023-07-14,4.7,94,35.18,30.51,Seema,204,Printer_C
Sweet N Hot Lemon Pickle,Pickle,1kg,B00180,2025-11-26,164.0,164,149.16,77.88,Ajay,213,Printer_C
Tikha & Lal Mirchi Powder,Masala,50gm,B00181,2024-12-28,7.4,148,113.45,70.64,Seema,229,Printer_C
Biryani Pulav Masala,Masala,500gm,B00182,2024-02-01,48.0,96,105.53,85.34,Neha,97,Printer_C
Mango Pickle,Pickle,200gm,B00183,2023-06-04,16.0,80,149.5,120.96,Seema,215,Printer_C
Dhana Powder,Masala,200gm,B00184,2025-05-11,10.4,52,138.14,84.77,Sunil,49,Printer_C
Green Chilly Pickle,Pickle,1kg,B00185,2025-03-25,91.0,91,145.04,75.04,Ajay,85,Printer_A
Goda Masala,Masala,200gm,B00186,2023-03-05,25.0,125,42.81,30.0,Sunil,48,Printer_A
Papad,Papad,500gm,B00187,2024-10-25,70.5,141,107.62,77.11,Priya,299,Printer_C
Green Chilly Pickle,Pickle,1kg,B00188,2024-11-21,109.0,109,100.04,62.36,Seema,235,Printer_A
Mango Pickle,Pickle,200gm,B00189,2024-08-12,24.0,120,61.19,38.92,Ajay,168,Printer_B
Mango Pickle,Pickle,50gm,B00190,2024-11-03,5.6,112,94.33,65.36,Priya,56,Printer_C
Chunda,Pickle,500gm,B00191,2024-08-26,66.5,133,102.33,69.72,Sunil,31,Printer_B
Khobra Lasun Chatani,Chutney,1kg,B00192,2025-03-20,92.0,92,139.31,104.03,Ajay,87,Printer_A
Mango Pickle,Pickle,200gm,B00193,2025-02-21,26.2,131,80.0,61.95,Seema,136,Printer_C
Chat Masala,Masala,500gm,B00194,2025-08-06,52.0,104,80.19,62.53,Ajay,154,Printer_B
Biryani Pulav Masala,Masala,200gm,B00195,2025-09-26,10.8,54,33.16,23.64,Priya,181,Printer_A
Chatpata Masala,Masala,1kg,B00196,2025-06-09,114.0,114,87.64,78.49,Sunil,86,Printer_B
Dhana Powder,Masala,100gm,B00197,2024-05-21,6.0,60,101.3,72.36,Sunil,210,Printer_A
Chunda,Pickle,50gm,B00198,2024-08-21,6.75,135,129.5,99.81,Sunil,75,Printer_C
Sweet N Hot Lemon Pickle,Pickle,1kg,B00199,2023-09-14,112.0,112,86.24,53.85,Ajay,19,Printer_B
Tikhat Mirchi Powder,Masala,100gm,B00200,2024-12-16,5.0,50,31.64,19.7,Seema,80,Printer_A
Dhana Powder,Masala,50gm,B00201,2025-10-27,7.05,141,127.55,114.78,Sunil,279,Printer_A
Green Chilly Pickle,Pickle,1kg,B00202,2023-09-05,52.0,52,96.65,80.29,Seema,94,Printer_C
Chat Masala,Masala,500gm,B00203,2024-10-08,43.0,86,120.85,86.21,Neha,155,Printer_C
Jai Ho Mango Pickle,Pickle,100gm,B00204,2025-04-26,13.4,134,84.07,53.7,Sunil,109,Printer_B
Green Chilly Pickle,Pickle,1kg,B00205,2024-07-10,100.0,100,62.97,41.7,Sunil,267,Printer_C
Biryani Pulav Masala,Masala,100gm,B00206,2023-11-05,11.4,114,110.6,86.87,Neha,36,Printer_C
Mango Pickle,Pickle,200gm,B00207,2025-12-23,28.2,141,62.24,37.76,Neha,73,Printer_B
Dhana Powder,Masala,100gm,B00208,2024-07-17,8.3,83,87.15,74.03,Ravi,233,Printer_A
Javas Chatani,Chutney,100gm,B00209,2024-11-01,12.9,129,132.26,88.03,Ajay,212,Printer_C
Meat Masala,Masala,500gm,B00210,2023-06-01,126.0,84,40.61,29.95,Ajay,60,Printer_C
Green Chilly Pickle,Pickle,100gm,B00211,2023-01-27,9.6,96,46.08,23.44,Ajay,81,Printer_C
Mango Pickle,Pickle,1kg,B00212,2023-12-01,128.0,128,124.16,98.31,Seema,86,Printer_C
Javas Chatani,Chutney,1kg,B00213,2025-06-25,124.0,124,55.56,35.61,Seema,164,Printer_A
Tikha & Lal Mirchi Powder,Masala,500gm,B00214,2025-11-15,73.5,147,72.07,56.0,Ravi,265,Printer_C
Mix Pickle,Pickle,1kg,B00215,2025-04-05,79.0,79,96.58,60.58,Seema,10,Printer_C
Kitchen King Masala,Masala,1kg,B00216,2024-03-22,147.0,147,71.79,54.14,Ravi,194,Printer_A
Papad,Papad,1kg,B00217,2025-11-17,137.0,137,139.26,96.0,Priya,209,Printer_B
Tikha & Lal Mirchi Powder,Masala,500gm,B00218,2024-04-01,65.0,130,113.72,84.03,Ajay,44,Printer_B
Malvani Masala,Masala,50gm,B00219,2025-10-11,2.95,59,141.19,105.56,Ravi,190,Printer_C
Dal Tadka Masala,Masala,100gm,B00220,2025-07-23,16.3,163,85.1,67.57,Ajay,103,Printer_A
8+2 Mirchi Powder,Masala,500gm,B00221,2023-04-02,51.0,102,71.69,47.51,Sunil,31,Printer_B
Javas Chatani,Chutney,1kg,B00222,2024-12-18,122.0,122,58.82,30.75,Ajay,28,Printer_C
Garam Masala,Masala,200gm,B00223,2023-11-11,14.4,72,45.37,29.29,Seema,198,Printer_B
Shengdana Chatani,Chutney,500gm,B00224,2024-05-06,47.5,95,106.9,59.28,Ajay,264,Printer_B
Karala Chatani,Chutney,1kg,B00225,2024-11-24,135.0,135,79.4,60.53,Ajay,230,Printer_C
sabudana papad,Papad,100gm,B00226,2025-04-04,7.6,76,110.11,71.76,Ravi,161,Printer_B
Mango Pickle,Pickle,500gm,B00227,2023-10-12,65.0,130,34.9,19.22,Ajay,190,Printer_C
sabudana papad,Papad,200gm,B00228,2025-12-02,28.2,141,71.71,43.71,Ravi,217,Printer_B
Mango Pickle,Pickle,100gm,B00229,2023-02-20,11.9,119,44.48,32.84,Priya,234,Printer_A
Garam Masala,Masala,100gm,B00230,2025-05-13,13.9,139,137.31,87.69,Neha,26,Printer_C
Garam Masala,Masala,500gm,B00231,2024-06-25,69.5,139,112.85,69.04,Ravi,80,Printer_C
Kitchen King Masala,Masala,200gm,B00232,2025-04-04,19.2,96,105.35,65.79,Ravi,105,Printer_B
Mango Pickle,Pickle,1kg,B00233,2023-04-09,143.0,143,48.84,34.83,Sunil,119,Printer_C
Sunday Kala Masala,Masala,500gm,B00234,2023-02-28,65.0,130,63.23,53.23,Ravi,98,Printer_C
Mango Pickle,Pickle,50gm,B00235,2025-12-11,7.4,148,52.14,34.56,Priya,43,Printer_C
Mix Pickle,Pickle,200gm,B00236,2023-10-23,21.0,105,88.14,69.23,Priya,195,Printer_C
Kashmiri Mirchi Powder,Masala,100gm,B00237,2023-04-16,13.6,136,93.75,76.51,Ravi,293,Printer_C
Meat Masala,Masala,1kg,B00238,2023-09-03,75.0,75,34.4,23.25,Ravi,213,Printer_C
Sweet N Hot Lemon Pickle,Pickle,1kg,B00239,2024-10-27,56.0,56,112.46,95.97,Priya,74,Printer_B
Green Chilly Pickle,Pickle,500gm,B00240,2024-10-12,33.5,67,83.69,63.59,Ravi,292,Printer_C
Chunda,Pickle,100gm,B00241,2024-07-28,6.4,64,42.58,34.97,Ravi,73,Printer_C
Garam Masala,Masala,100gm,B00242,2023-05-23,7.7,77,32.41,22.58,Seema,275,Printer_B
Mithi Chatani,Chutney,200gm,B00243,2023-09-18,27.0,135,69.3,44.07,Seema,165,Printer_C
Mix Pickle,Pickle,1kg,B00244,2025-03-19,66.0,66,71.15,52.81,Ravi,182,Printer_C
Tikha & Lal Mirchi Powder,Masala,50gm,B00245,2023-01-21,2.95,59,124.7,93.47,Sunil,145,Printer_C
Kashmiri Mirchi Powder,Masala,1kg,B00246,2024-09-01,179.0,179,94.45,63.85,Ajay,289,Printer_B
Green Chilly Pickle,Pickle,200gm,B00247,2024-04-26,11.4,57,100.38,77.23,Sunil,162,Printer_B
Dhana Powder,Masala,50gm,B00248,2023-06-16,6.05,121,64.05,39.0,Ajay,184,Printer_C
Garam Masala,Masala,200gm,B00249,2025-12-12,15.0,75,102.91,69.29,Neha,76,Printer_B
